date,outcome,case_count,total_pop,Rate
2/9/2022,death,26,5562663,0.47
2/10/2022,death,22,5562663,0.4
2/11/2022,death,19,5562663,0.34
2/12/2022,death,17,5562663,0.31
2/13/2022,death,19,5562663,0.34
2/14/2022,death,18,5562663,0.32
2/15/2022,death,22,5562663,0.4
2/16/2022,death,14,5562663,0.25
2/17/2022,death,16,5562663,0.29
2/18/2022,death,17,5562663,0.31
2/19/2022,death,21,5562663,0.38
2/20/2022,death,15,5562663,0.27
2/21/2022,death,8,5562663,0.14
2/22/2022,death,14,5562663,0.25
2/23/2022,death,10,5562663,0.18
2/24/2022,death,28,5562663,0.5
2/25/2022,death,9,5562663,0.16
2/26/2022,death,10,5562663,0.18
2/27/2022,death,11,5562663,0.2
2/28/2022,death,7,5562663,0.13
3/1/2022,death,8,5562663,0.14
3/2/2022,death,9,5562663,0.16
3/3/2022,death,6,5562663,0.11
